0	0	0.165	0.4	-0.00306107	-0.0262712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205479	0.0234834	1	1	0	0	0.11	0.07	0	1	0.0470588	0.05	0.06	0	0	1	1	0	0	0.18
0	1	0.135	0	-0.00201676	-0.0262712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.998043	0.998043	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0.225
0	1	0.135	0	-0.00201676	-0.0262712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0.225
0	1	0.135	0	-0.00201676	-0.0262712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0.225
0	1	0.135	0	-0.00253487	-0.0262712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0.225
0	1	0.135	0	-0.00201676	-0.0262712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0.225
0	0	0	0	-0.00286273	-0.0028753	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.00587084	0.00587084	0	0	0	0	1	0	0	0.0117647	0.560784	1	0	0.33	0.07	0	0.01	0	0.01	0
0	0	0.165	0.4	-0.00306107	-0.0262712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.465753	0.0332681	1	1	0	0	0.07	0.06	0	1	0.0666667	0.07	0.06	0	0	1	1	0	0	0.18
0	0	0.165	0.4	-0.00306107	-0.0262712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21135	0.0156556	1	1	0	0	0.07	0.06	0	1	0.0313725	0.03	0.07	0	0	1	1	0	0	0.18
0	0	0.165	0.4	-0.00306107	-0.0262712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.565558	0.0293542	1	1	0	0	0.05	0.06	0	1	0.0588235	0.06	0.07	0	0	1	1	0	0	0.18
